,planned energy (kWh),final purchased energy (kWh),upward adjustment (kWh),downward adjustment (kWh),emergency energy (kWh),days with emergency purchase,unused surplus (kWh),planned purchase cost (yuan),adjustment cost (yuan),emergency cost (yuan),total cost (yuan),saving vs static (yuan),saving vs static (%)
06:00 + 12:00 + 18:00,21792791.769315634,21627471.563139588,581105.3724950354,746425.5786710834,219388.89526462398,334.0,2599335.0949888052,13301863.247348014,362935.0919755038,773844.343820708,14438642.683144223,620882.8673934117,4.122858089451867
06:00 + 12:00,21792791.769315634,21618393.80961275,502870.3285064483,677268.2882093317,249808.8705435851,334.0,2620708.9345128685,13301863.247348014,285381.4069720773,922711.6972079016,14509956.351527993,549569.199009642,3.6493128363530816
12:00 + 18:00,21792791.769315634,21628831.907866903,345413.85925993405,509373.7207086686,300007.3786454258,333.0,2675415.287154563,13301863.247348014,210069.07964470927,1111475.519824986,14623407.84681771,436117.70371992514,2.895959120733093
12:00,21792791.769315634,21619754.154340066,267178.81527134695,440216.43024691683,330427.3539243869,333.0,2696789.1266786265,13301863.247348014,132515.3946412828,1260342.8732121796,14694721.515201475,364804.03533615917,2.422413867634332
06:00 + 18:00,21792791.769315634,21800509.178115156,313926.55722368846,306209.14842416655,345252.8806542648,334.0,2887021.255831915,13301863.247348014,230419.69733422098,1271163.7737981514,14803446.718480386,256078.8320572488,1.7004442218175102
06:00,21792791.769315634,21791431.42458832,235691.51323510136,237051.85796241486,375672.85593322595,334.0,2908395.0953559782,13301863.247348014,152866.0123307945,1420031.1271853454,14874760.386864152,184765.16367348284,1.2268989687187495
18:00,21792791.769315634,21801869.522842467,78235.04398858712,69157.2904617517,425871.3640350666,333.0,2963101.447997673,13301863.247348014,77553.68500342648,1608794.9498024296,14988211.882153869,71313.66838376597,0.4735452530987606
00:00 only,21792791.769315634,21792791.769315634,0.0,0.0,456291.3393140277,331.0,2984475.2875217367,13301863.247348014,0.0,1757662.3031896234,15059525.550537635,0.0,0.0
