name,target_mode,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,anchor,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_midnight_target,delta_vs_v002
v002_baseline,off,,0.0,0.0,37,soft,h0_and_h18,13521573.412340429,13188515.901656084,270111.8206970634,62945.68998728275,21503867.694092624,21033486.700421516,501579.8356013644,971960.8292724688,11602.854539463442,1889014.2982815248,6924.258007793334,1200.0,10800.0,2664.3467760615213,2662.4619832270355,6407643.844414932,5190758.082702142,,163.70488819293678
hist_morning_c0.3_n37_soft,forecast,hist_morning,0.3,0.0,37,soft,h0_and_h18,13524284.684543584,13181897.853802213,279930.44517431536,62456.38556705658,21504267.461517874,21048750.190230623,517463.76703244774,972981.0383196977,11386.136209757227,1907204.0317035387,7250.484916764823,1200.0,10800.0,4765.678895507778,4757.84961859659,6400506.738998326,5186763.939228147,4018.063986497838,2874.9770913477987
hist_morning_c0.3_n37_ge,forecast,hist_morning,0.3,0.0,37,ge,h0_and_h18,13524284.684543584,13181897.853802213,279930.44517431536,62456.38556705658,21504267.461517874,21048750.190230623,517463.7670324477,972981.0383196977,11386.136209757227,1907204.0317035387,7250.484916764823,1200.0,10800.0,4765.678895507778,4757.84961859659,6400506.738998326,5186763.939228147,4018.063986497838,2874.9770913477987
hist_morning_c0.3_n24_soft,forecast,hist_morning,0.3,0.0,24,soft,h0_and_h18,13524309.981801685,13181898.365411393,279955.06729160494,62456.54909868784,21504268.649914205,21048746.243227012,517485.66005327646,973008.066740474,11386.159651791524,1907203.4089063206,7250.482618722343,1200.0,10800.0,4765.675693242208,4757.846416331018,6400489.36655432,5186749.867548503,4018.063986497838,2900.2743494492024
hist_morning_c0.3_n24_ge,forecast,hist_morning,0.3,0.0,24,ge,h0_and_h18,13524309.981801685,13181898.365411393,279955.06729160494,62456.54909868784,21504268.649914205,21048746.243227012,517485.66005327646,973008.066740474,11386.159651791524,1907203.4089063206,7250.482734376174,1200.0,10800.0,4765.675693242208,4757.846416331018,6400489.36655432,5186749.867548503,4018.063986497838,2900.2743494492024
hist_morning_c0.3_n12_soft,forecast,hist_morning,0.3,0.0,12,soft,h0_and_h18,13524822.288888678,13182909.162156288,279478.04203764827,62435.08469474411,21506633.95774319,21048575.472523004,517800.9616384255,975859.4468586132,11383.16967026372,1907120.74193946,7249.4002277108675,1200.0,10800.0,4759.098621767433,4751.269266060168,6400010.050593386,5186361.645306246,4018.063986497838,3412.5814364422113
hist_morning_c0.3_n12_ge,forecast,hist_morning,0.3,0.0,12,ge,h0_and_h18,13524822.288888678,13182909.162156288,279478.0420376482,62435.08469474411,21506633.95774319,21048575.472523004,517800.9616384255,975859.4468586132,11383.16967026372,1907120.74193946,7249.4002277108675,1200.0,10800.0,4759.098621767433,4751.269266060168,6400010.050593386,5186361.645306246,4018.063986497838,3412.5814364422113
fixed_3000_n37_soft,fixed,,0.0,3000.0,37,soft,h0_and_h18,13526164.249287577,13181995.079968277,282373.5059532561,61795.66336604695,21496650.988458134,21044808.003589876,520585.01938701596,972428.0042552734,11025.752959680889,1897720.1860821838,7101.76663963832,1200.0,10800.0,3744.7732357329546,3742.7661199284566,6418565.339534437,5199641.264033727,3000.0,4754.541835341603
fixed_3000_n37_ge,fixed,,0.0,3000.0,37,ge,h0_and_h18,13526164.249287577,13181995.079968277,282373.5059532561,61795.66336604695,21496650.988458134,21044808.003589876,520585.01938701596,972428.0042552734,11025.752959680889,1897720.1860821838,7101.76663963832,1200.0,10800.0,3744.7732357329546,3742.7661199284566,6418565.339534437,5199641.264033727,3000.0,4754.541835341603
fixed_3000_n24_soft,fixed,,0.0,3000.0,24,soft,h0_and_h18,13526189.546065763,13181995.591097541,282398.1280705457,61795.82689767821,21496652.17685447,21044804.056586266,520606.9124078448,972455.0326760497,11025.776401715186,1897719.5632849657,7101.764131081856,1200.0,10800.0,3744.7700334673846,3742.7629176628857,6418547.967090432,5199627.192354081,3000.0,4779.838613526896
fixed_3000_n24_ge,fixed,,0.0,3000.0,24,ge,h0_and_h18,13526189.546065763,13181995.591097541,282398.1280705457,61795.82689767821,21496652.17685447,21044804.056586266,520606.9124078448,972455.0326760497,11025.776401715186,1897719.5632849657,7101.764200628791,1200.0,10800.0,3744.7700334673846,3742.7629176628857,6418547.967090432,5199627.192354081,3000.0,4779.838613526896
fixed_3000_n12_soft,fixed,,0.0,3000.0,12,soft,h0_and_h18,13526687.596817866,13182990.90629359,281922.3280305421,61774.36249373449,21498965.348509338,21044583.47708664,520938.4282095958,975320.2996322908,11022.78642018738,1897618.5845175171,7100.444082416262,1200.0,10800.0,3738.2034631742954,3736.196347369797,6417902.752807795,5199104.568785147,3000.0,5277.889365630224
fixed_3000_n12_ge,fixed,,0.0,3000.0,12,ge,h0_and_h18,13526687.596817866,13182990.90629359,281922.3280305421,61774.36249373449,21498965.348509338,21044583.47708664,520938.4282095958,975320.2996322908,11022.78642018738,1897618.5845175171,7100.444082416262,1200.0,10800.0,3738.2034631742954,3736.196347369797,6417902.752807795,5199104.568785147,3000.0,5277.889365630224
fixed_4000_n37_soft,fixed,,0.0,4000.0,37,soft,h0_and_h18,13530074.766216487,13186984.459418602,281908.31530432747,61181.99149355759,21515184.586734917,21061876.43389806,520292.01770475897,973600.170541616,10598.968325197833,1906688.7308605318,7307.303152549738,1200.0,10800.0,4715.4925926126425,4713.408907052459,6459071.2225023825,5232474.046106322,4000.0,8665.058764250949
fixed_4000_n37_ge,fixed,,0.0,4000.0,37,ge,h0_and_h18,13530074.766216487,13186984.459418602,281908.31530432747,61181.99149355759,21515184.586734917,21061876.43389806,520292.01770475897,973600.170541616,10598.968325197833,1906688.7308605318,7307.303152549738,1200.0,10800.0,4715.4925926126425,4713.408907052459,6459071.2225023825,5232474.046106322,4000.0,8665.058764250949
fixed_4000_n24_ge,fixed,,0.0,4000.0,24,ge,h0_and_h18,13530100.06004745,13186984.967600644,281932.93742161704,61182.15502518885,21515185.77513125,21061872.486894447,520313.91072558775,973627.1989623923,10598.991767232132,1906688.1080633136,7307.301531304234,1200.0,10800.0,4715.489390347072,4713.405704786888,6459053.850058376,5232459.9744266765,4000.0,8690.3525952138
fixed_4000_n24_soft,fixed,,0.0,4000.0,24,soft,h0_and_h18,13530100.06004745,13186984.967600644,281932.937421617,61182.15502518885,21515185.77513125,21061872.486894447,520313.91072558775,973627.1989623923,10598.991767232132,1906688.1080633136,7307.301415650403,1200.0,10800.0,4715.489390347072,4713.405704786888,6459053.850058376,5232459.9744266765,4000.0,8690.3525952138
fixed_4000_n12_ge,fixed,,0.0,4000.0,12,ge,h0_and_h18,13530594.849586971,13187973.481235683,281460.67773004156,61160.690621245114,21517479.63602431,21061637.719748616,520650.2922925424,976492.2085682354,10596.001785704324,1906600.6419852732,7306.157395422352,1200.0,10800.0,4708.943680016135,4706.85999445595,6458262.844535661,5231819.259953277,4000.0,9185.14213473536
fixed_4000_n12_soft,fixed,,0.0,4000.0,12,soft,h0_and_h18,13530594.849586971,13187973.481235683,281460.67773004156,61160.690621245114,21517479.63602431,21061637.719748616,520650.2922925424,976492.2085682354,10596.001785704324,1906600.6419852732,7306.157395422352,1200.0,10800.0,4708.943680016135,4706.85999445595,6458262.844535661,5231819.259953277,4000.0,9185.14213473536
hist_morning_c0.5_n12_soft,forecast,hist_morning,0.5,0.0,12,soft,h0_and_h18,13535776.86868545,13198050.649899457,275635.6355222608,62090.583263735076,21544111.374122478,21065495.179723207,519069.790062992,997685.9844622638,11236.554632402924,1925516.7478360687,7395.271754891105,1200.0,10800.0,6406.471599953366,6393.38843780136,6399780.474188255,5187754.982635381,5793.963230358727,14367.161233214661
hist_morning_c0.5_n37_soft,forecast,hist_morning,0.5,0.0,37,soft,h0_and_h18,13536889.125571545,13194612.235913748,280165.00552175095,62111.88413604755,21535178.437883854,21079110.52864955,518678.3554211115,974746.2646554179,11239.521171896433,1938896.5097113643,7401.212815472594,1200.0,10800.0,6430.745055987939,6417.661972632009,6401035.894737948,5188771.849594531,5793.963230358727,15479.41811930947
hist_morning_c0.5_n37_ge,forecast,hist_morning,0.5,0.0,37,ge,h0_and_h18,13536889.125571545,13194612.235913748,280165.00552175095,62111.88413604755,21535178.437883854,21079110.52864955,518678.3554211115,974746.2646554179,11239.521171896433,1938896.5097113643,7401.212815472594,1200.0,10800.0,6430.745055987939,6417.661972632009,6401035.894737948,5188771.849594531,5793.963230358727,15479.41811930947
hist_morning_c0.5_n24_soft,forecast,hist_morning,0.5,0.0,24,soft,h0_and_h18,13536914.421165893,13194612.745859176,280189.6276390405,62112.04766767881,21535179.62628019,21079106.581645936,518700.2484419403,974773.2930761941,11239.544613930731,1938895.8869141461,7401.210706772703,1200.0,10800.0,6430.741853722368,6417.658770366438,6401018.522293942,5188757.777914885,5793.963230358727,15504.713713657111
hist_morning_c0.5_n24_ge,forecast,hist_morning,0.5,0.0,24,ge,h0_and_h18,13536914.421165893,13194612.745859176,280189.6276390405,62112.04766767881,21535179.62628019,21079106.581645936,518700.2484419403,974773.2930761941,11239.544613930731,1938895.8869141461,7401.210822426535,1200.0,10800.0,6430.741853722368,6417.658770366438,6401018.522293942,5188757.777914885,5793.963230358727,15504.713713657111
fixed_5000_n37_soft,fixed,,0.0,5000.0,37,soft,h0_and_h18,13539843.557742331,13197597.28897021,281106.6849181583,61139.58385396356,21545668.007830508,21089895.049966216,519863.13806278503,975636.0959270771,10592.889248421166,1925241.6343276051,7418.329902563367,1200.0,10800.0,5660.035408190178,5657.959065958107,6508847.149449098,5272790.33952873,5000.0,18433.850290095434
fixed_5000_n37_ge,fixed,,0.0,5000.0,37,ge,h0_and_h18,13539843.557742331,13197597.28897021,281106.6849181583,61139.58385396356,21545668.007830508,21089895.049966216,519863.13806278503,975636.0959270771,10592.889248421166,1925241.6343276051,7418.329902563367,1200.0,10800.0,5660.035408190178,5657.959065958107,6508847.149449098,5272790.33952873,5000.0,18433.850290095434
fixed_5000_n24_soft,fixed,,0.0,5000.0,24,soft,h0_and_h18,13539868.850833068,13197597.796412025,281131.30703544786,61139.74738559482,21545669.196226843,21089891.102962606,519885.03108361375,975663.1243478532,10592.912690455463,1925241.011530387,7418.3278273270635,1200.0,10800.0,5660.032205924607,5657.955863692537,6508829.777005091,5272776.267849086,5000.0,18459.143380831927
fixed_5000_n24_ge,fixed,,0.0,5000.0,24,ge,h0_and_h18,13539868.850833068,13197597.796412025,281131.30703544786,61139.74738559482,21545669.196226843,21089891.102962606,519885.03108361375,975663.1243478532,10592.912690455463,1925241.011530387,7418.327942980895,1200.0,10800.0,5660.032205924607,5657.955863692537,6508829.777005091,5272776.267849086,5000.0,18459.143380831927
fixed_5000_n12_soft,fixed,,0.0,5000.0,12,soft,h0_and_h18,13540372.244676873,13198588.226589987,280665.73510523466,61118.282981651086,21547970.303440824,21089668.674434844,520218.9883285662,978520.6173345444,10589.922708927657,1925166.668190938,7417.2138117458335,1200.0,10800.0,5653.463404738443,5651.387062506372,6508034.644532267,5272132.210546098,5000.0,18962.537224637344
fixed_5000_n12_ge,fixed,,0.0,5000.0,12,ge,h0_and_h18,13540372.244676873,13198588.226589987,280665.73510523466,61118.282981651086,21547970.303440824,21089668.674434844,520218.9883285662,978520.6173345444,10589.922708927657,1925166.668190938,7417.2138117458335,1200.0,10800.0,5653.463404738443,5651.387062506372,6508034.644532267,5272132.210546098,5000.0,18962.537224637344
fixed_6000_n37_soft,fixed,,0.0,6000.0,37,soft,h0_and_h18,13546903.314801287,13205235.142989043,280541.5898296112,61126.58198263199,21567644.08096791,21110494.219863035,519521.5692154174,976671.4303202962,10591.02544805827,1933851.4958476853,7526.186035194274,1200.0,10800.0,6634.001712575518,6631.919871624403,6571947.662561306,5323903.408064564,6000.0,25493.607349051163
fixed_6000_n37_ge,fixed,,0.0,6000.0,37,ge,h0_and_h18,13546903.314801287,13205235.142989043,280541.5898296112,61126.58198263199,21567644.08096791,21110494.219863035,519521.5692154174,976671.4303202962,10591.02544805827,1933851.4958476853,7526.186035194274,1200.0,10800.0,6634.001712575518,6631.919871624403,6571947.662561306,5323903.408064564,6000.0,25493.607349051163
fixed_6000_n24_ge,fixed,,0.0,6000.0,24,ge,h0_and_h18,13546928.60813312,13205235.650671957,280566.2119469008,61126.74551426325,21567645.26936425,21110490.272859424,519543.46223624615,976698.4587410724,10591.048890092567,1933850.873050467,7526.18429057844,1200.0,10800.0,6633.998510309947,6631.916669358832,6571930.290117301,5323889.336384919,6000.0,25518.90068088472
fixed_6000_n24_soft,fixed,,0.0,6000.0,24,soft,h0_and_h18,13546928.60813312,13205235.650671957,280566.2119469008,61126.74551426325,21567645.26936425,21110490.272859424,519543.46223624615,976698.4587410724,10591.048890092567,1933850.873050467,7526.184171538516,1200.0,10800.0,6633.998510309947,6631.916669358832,6571930.290117301,5323889.336384919,6000.0,25518.90068088472
fixed_6000_n12_ge,fixed,,0.0,6000.0,12,ge,h0_and_h18,13547430.759811144,13206227.364010401,280098.96110991365,61104.43469082826,21569952.64682917,21110273.244008984,519881.2911158157,979560.693935999,10587.93325179787,1933762.418671337,7525.16397463448,1200.0,10800.0,6627.413037746096,6625.33119679498,6571237.184277299,5323327.920654518,6000.0,26021.05235890858
fixed_6000_n12_soft,fixed,,0.0,6000.0,12,soft,h0_and_h18,13547430.759811144,13206227.364010401,280098.96110991365,61104.43469082826,21569952.64682917,21110273.244008984,519881.2911158157,979560.693935999,10587.93325179787,1933762.418671337,7525.15149958458,1200.0,10800.0,6627.413037746096,6625.33119679498,6571237.184277299,5323327.920654518,6000.0,26021.05235890858
hybrid_morning_c0.3_n37_ge,forecast,hybrid_morning,0.3,0.0,37,ge,h0_and_h18,13548746.243118526,13130186.674434628,356809.3892868998,61750.17939699825,21383431.948063258,21049760.603187624,629733.0468482565,963404.3917238903,11213.748626891313,1909072.612582674,7287.917263351356,1200.0,10800.0,5091.947685008748,5084.249814684992,6394874.863602606,5182162.619337432,4018.7474721897865,27336.53566629067
hybrid_morning_c0.3_n37_soft,forecast,hybrid_morning,0.3,0.0,37,soft,h0_and_h18,13548746.243118526,13130186.674434628,356809.38928689976,61750.17939699825,21383431.948063258,21049760.603187624,629733.0468482565,963404.3917238903,11213.748626891313,1909072.612582674,7287.917263351356,1200.0,10800.0,5091.947685008748,5084.249814684992,6394874.863602606,5182162.619337432,4018.7474721897865,27336.53566629067
