name,target_mode,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,anchor,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_midnight_target,delta_vs_v002
hist_morning_c0.5_n12_ge,forecast,hist_morning,0.5,0.0,12,ge,h0_and_h18,13564228.232288986,13195598.583441403,306539.06558384746,62090.583263735076,21537507.37073424,21074996.799242064,535170.7215401913,997681.2930323667,11236.554632402924,1938679.1088813073,7407.005020038757,1200.0,10800.0,6424.266818664184,6411.1836565121785,6380513.4135231,5172148.663496604,5793.963230358727,42818.5248367507
hist_morning_c1.0_n12_soft,forecast,hist_morning,1.0,0.0,12,soft,h0_and_h18,13572517.415027626,13249697.84336524,261835.23614537026,60984.33551701765,21654930.73871737,21111681.965902902,517150.691126805,1060399.4639412751,10864.690063090897,1968283.2663902452,7602.7385559290815,1200.0,10800.0,8863.007418668138,8837.568048504218,6435373.522528182,5220299.627919102,8531.431532504435,51107.707575390115
hybrid_morning_c0.5_n12_soft,forecast,hybrid_morning,0.5,0.0,12,soft,h0_and_h18,13573697.05936994,13123154.099148627,389491.72807488975,61051.23214642494,21367548.48650916,21067175.266159594,686923.0147193796,987296.2350689449,11074.026752262293,1928909.055994054,7433.821050448773,1200.0,10800.0,6879.017570740931,6866.014989920822,6389785.882871912,5179635.140920775,5790.488152363329,52287.35191770457
hist_morning_c1.0_n37_soft,forecast,hist_morning,1.0,0.0,37,soft,h0_and_h18,13576930.601934817,13234540.423459109,280998.24541645584,61391.933059251314,21614450.89007276,21159181.372646507,518507.4960715608,973777.0134978123,10928.04375616266,2015056.0180991641,7631.504930374948,1200.0,10800.0,8972.924084514198,8947.48479314635,6439531.338536919,5223667.435200078,8531.431532504435,55520.894482580945
hist_morning_c1.0_n37_ge,forecast,hist_morning,1.0,0.0,37,ge,h0_and_h18,13576930.601934817,13234540.423459109,280998.24541645584,61391.933059251314,21614450.89007276,21159181.372646507,518507.4960715608,973777.0134978123,10928.04375616266,2015056.0180991641,7631.504930374948,1200.0,10800.0,8972.924084514198,8947.48479314635,6439531.338536919,5223667.435200078,8531.431532504435,55520.894482580945
hist_morning_c1.0_n24_soft,forecast,hist_morning,1.0,0.0,24,soft,h0_and_h18,13576956.518421197,13234541.554296568,281022.8675337454,61392.096590882575,21614453.866763294,21159179.213937093,518529.3890923896,973804.0419185885,10928.067198196959,2015057.1835961444,7631.501970174422,1200.0,10800.0,8972.916063491804,8947.476772123957,6439513.966092913,5223653.363520434,8531.431532504435,55546.81096896157
hist_morning_c1.0_n24_ge,forecast,hist_morning,1.0,0.0,24,ge,h0_and_h18,13576956.518421197,13234541.554296568,281022.8675337454,61392.096590882575,21614453.866763294,21159179.213937093,518529.3890923896,973804.0419185885,10928.067198196959,2015057.1835961444,7631.502093244022,1200.0,10800.0,8972.916063491804,8947.476772123957,6439513.966092913,5223653.363520434,8531.431532504435,55546.81096896157
hybrid_morning_c0.5_n37_soft,forecast,hybrid_morning,0.5,0.0,37,soft,h0_and_h18,13578053.995201953,13118350.742611587,398243.99940126436,61459.253189099865,21354807.590490773,21084571.09041599,691213.9121651496,961450.4122399318,11134.756978593663,1945701.0990503998,7443.124380325191,1200.0,10800.0,6913.5511820309675,6900.548680006934,6393283.186768137,5182467.9333906155,5790.488152363329,56644.28774971701
hybrid_morning_c0.5_n37_ge,forecast,hybrid_morning,0.5,0.0,37,ge,h0_and_h18,13578053.995201953,13118350.742611587,398243.99940126436,61459.25318909988,21354807.590490773,21084571.09041599,691213.9121651496,961450.4122399318,11134.756978593663,1945701.0990503998,7443.124380325191,1200.0,10800.0,6913.5511820309675,6900.548680006934,6393283.186768137,5182467.9333906155,5790.488152363329,56644.28774971701
hybrid_morning_c0.5_n24_soft,forecast,hybrid_morning,0.5,0.0,24,soft,h0_and_h18,13578079.388836173,13118351.350596886,398268.62151855393,61459.416720731126,21354808.778887108,21084567.14341238,691235.8051859783,961477.440660708,11134.780420627962,1945700.4762531817,7443.123475567969,1200.0,10800.0,6913.547979765399,6900.545477741364,6393265.814324131,5182453.861710972,5790.488152363329,56669.6813839376
