terminal_floor_kwh,planning_penalty,planned_yuan,emergency_yuan,total_yuan,emergency_kwh,min_soc,max_soc,final_soc,seconds
3000,6.0,13087560.279270511,959507.7020639521,14047067.981334463,158026.63661042566,1200.0,10800.0,2995.7029996296305,36.07056183303939
6000,6.0,13100498.535194369,958224.8985405122,14058723.433734879,157284.99034846664,1200.0,10800.0,5837.310250555554,35.6278648339794
1200,6.0,13093414.899587063,988516.7580353799,14081931.657622442,171948.7610346204,1200.0,10800.0,1285.8244178052107,36.301824041991495
3000,5.0,12954374.168890974,1142446.3941437253,14096820.563034698,186219.14959321084,1200.0,10800.0,2862.0209737037035,37.16818850004347
6000,5.0,12967216.456706583,1138692.7192864167,14105909.175993003,185146.7570082117,1200.0,10800.0,5805.337297777778,37.432853500009514
1200,5.0,12958115.87994522,1178660.4783260662,14136776.358271288,202703.91305091296,1200.0,10800.0,1202.9079663169632,37.83337574999314
3000,4.0,12797180.421627037,1457707.8781668898,14254888.299793929,237698.84888430292,1200.0,10800.0,2860.67046074074,37.9190474160132
6000,4.0,12806239.52017287,1457352.729428569,14263592.249601439,236867.2858788405,1200.0,10800.0,5820.857289629631,38.43965924996883
1200,4.0,12799950.229040574,1503463.2110964083,14303413.440136984,259373.96947607677,1200.0,10800.0,1221.9878836265086,37.93939766695257
