terminal_floor_kwh,planning_penalty,scenario_mode,planned_yuan,emergency_yuan,total_yuan,emergency_kwh,min_soc,max_soc,final_soc,seconds
3000.0,7.0,split,13028156.736031516,728286.1682630364,13756442.904294552,118515.64717911193,1200.0,10800.0,3037.6349494444453,34.10641337494599
3000.0,8.0,split,13081502.521230014,686670.5891286989,13768173.110358715,111595.98781241114,1200.0,10800.0,3037.6349494444453,34.16564058302902
3000.0,6.0,split,12886948.939512812,960922.3218074874,13847871.261320299,157152.37885048875,1200.0,10800.0,2995.7029996296305,35.20935754198581
