terminal_floor_kwh,planning_penalty,scenario_mode,initial_soc_kwh,planned_yuan,emergency_yuan,total_yuan,emergency_kwh,min_soc,max_soc,final_soc,seconds
3000.0,7.15,split,10800.0,13034310.492731867,717177.5577235287,13751488.050455395,116799.88770226254,1200.0,10800.0,3037.6349494444453,35.61643316602567
3000.0,7.2,split,10800.0,13036652.292062446,715617.9682460853,13752270.26030853,116539.66482688428,1200.0,10800.0,3037.6349494444453,35.61731670895824
3000.0,7.3,split,10800.0,13044657.301578112,709317.6086266832,13753974.910204796,115474.61140700562,1200.0,10800.0,3037.6349494444453,36.45209266699385
3000.0,7.35,split,10800.0,13047913.574791778,708745.5594716568,13756659.134263434,115388.79789276268,1200.0,10800.0,3037.6349494444453,35.99666845804313
3000.0,7.4,split,10800.0,13053327.47559166,703524.6281568764,13756852.103748536,114481.51093052585,1200.0,10800.0,3037.6349494444453,34.08438508299878
