terminal_floor_kwh,planning_penalty,planned_yuan,emergency_yuan,total_yuan,emergency_kwh,min_soc,max_soc,final_soc,seconds
3000.0,7.0,13221352.769860353,766807.6759162836,13988160.445776636,126060.20066495467,1200.0,10800.0,3037.6349494444453,34.98963033297332
3000.0,8.0,13267563.941977892,731526.0315686277,13999089.97354652,120157.2181536529,1200.0,10800.0,3037.6349494444453,35.21605495800031
3000.0,10.0,13295547.801575067,708723.8823175936,14004271.683892662,116283.33317831122,1200.0,10800.0,3037.634949444445,35.51888120902004
3000.0,12.0,13576673.617658954,517840.6404600577,14094514.258119013,86861.26239100518,1200.0,10800.0,3008.7304575925928,32.79688283300493
