terminal_floor_kwh,planning_penalty,scenario_mode,initial_soc_kwh,planned_yuan,emergency_yuan,total_yuan,emergency_kwh,min_soc,max_soc,final_soc,seconds
3000.0,7.25,split,10800.0,13040204.442367638,711579.4082164487,13751783.850584086,115835.85351494211,1200.0,10800.0,3037.6349494444453,35.30358549999073
3000.0,6.75,split,10800.0,13009485.28121451,744191.8246889213,13753677.10590343,121118.87385757486,1200.0,10800.0,3037.6349494444453,35.441859875048976
3000.0,7.5,split,10800.0,13061659.92147644,696376.3718983774,13758036.293374816,113192.31180668782,1200.0,10800.0,3037.6349494444453,35.18988012499176
3000.0,6.5,split,10800.0,12994723.042888723,766769.0003797675,13761492.043268492,124852.36117876646,1200.0,10800.0,3037.6349494444453,35.26752049999777
