name,family,tv0,tv6,tv12,tv18,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,delta_vs_v002
scalar_0.050000,scalar,0.05,0.05,0.05,0.05,13541620.907941336,13190240.292442095,279993.3640568027,71387.25144243611,21480423.38099955,21017822.944450773,520982.7034836026,983583.1400323797,15619.181611456745,1881418.3500613938,6809.962429867315,1200.0,10800.0,1974.1420469744894,1972.0175507710146,6386699.497857553,5173865.216823382,20211.20048910007
scalar_0.100000,scalar,0.1,0.1,0.1,0.1,13541620.907941336,13190240.292442095,279993.3640568027,71387.25144243611,21480423.38099955,21017822.944450773,520982.7034836026,983583.1400323797,15619.181611456745,1881418.3500613938,6809.962429867315,1200.0,10800.0,1974.1420469744894,1972.0175507710146,6386699.497857553,5173865.216823382,20211.20048910007
scalar_0.150000,scalar,0.15,0.15,0.15,0.15,13541620.907941336,13190240.292442095,279993.3640568027,71387.25144243611,21480423.38099955,21017822.944450773,520982.7034836026,983583.1400323797,15619.181611456745,1881418.3500613938,6809.962429867315,1200.0,10800.0,1974.1420469744894,1972.0175507710146,6386699.497857553,5173865.216823382,20211.20048910007
scalar_0.200000,scalar,0.2,0.2,0.2,0.2,13541620.907941336,13190240.292442095,279993.3640568027,71387.25144243611,21480423.38099955,21017822.944450773,520982.7034836026,983583.1400323797,15619.181611456745,1881418.3500613938,6809.962429867315,1200.0,10800.0,1974.1420469744894,1972.0175507710146,6386699.497857553,5173865.216823382,20211.20048910007
split_da0.475_upd0.415,split_da_upd,0.475,0.415,0.415,0.415,13579816.602154098,13254434.112553261,264168.8157133266,61213.67388751465,21686914.022398703,21204556.120588876,495857.57190898404,978215.4737188097,10603.509952771954,1978082.701071105,7806.213379066967,1200.0,10800.0,9899.955262432379,9897.92569998814,6834197.478813775,5536310.0443098955,58406.89470186271
split_da0.475_upd0.500,split_da_upd,0.475,0.5,0.5,0.5,13580070.231314298,13252627.081094462,266229.47633231967,61213.67388751465,21682525.20117372,21204674.73205568,495847.08534699294,973697.5544650352,10603.509952771954,1978581.6768515348,7808.719417634664,1200.0,10800.0,9912.674366364623,9910.644803920384,6832195.561373622,5534688.491183372,58660.52386206202
split_da0.475_upd0.449,split_da_upd,0.475,0.448919,0.448919,0.448919,13580076.439195199,13252627.081094462,266235.6842132214,61213.67388751465,21682525.20117372,21204674.73205568,495851.8724235674,973702.3415416097,10603.509952771954,1978581.6768515348,7808.717427000692,1200.0,10800.0,9912.674366364623,9910.644803920384,6832195.561373622,5534688.491183372,58666.731742963195
scalar_0.475000,scalar,0.475,0.475,0.475,0.475,13580076.439195199,13252627.081094462,266235.6842132214,61213.67388751465,21682525.20117372,21204674.73205568,495851.8724235674,973702.3415416097,10603.509952771954,1978581.6768515348,7808.717427000692,1200.0,10800.0,9912.674366364623,9910.644803920384,6832195.561373622,5534688.491183372,58666.731742963195
split_da0.475_upd0.445,split_da_upd,0.475,0.445,0.445,0.445,13580076.439195199,13252627.081094462,266235.6842132214,61213.67388751465,21682525.20117372,21204674.73205568,495851.8724235674,973702.3415416097,10603.509952771954,1978581.6768515348,7808.717427000692,1200.0,10800.0,9912.674366364623,9910.644803920384,6832195.561373622,5534688.491183372,58666.731742963195
scalar_0.485000,scalar,0.485,0.485,0.485,0.485,13610902.905024134,13282788.058463033,266901.17267358437,61213.67388751465,21738951.52842465,21262241.158771284,496677.2080360241,973387.5776893876,10603.509952771954,2025396.0507384334,7875.754316006094,1200.0,10800.0,10540.650680908164,10539.094321034307,6888036.656826531,5579777.533807572,89493.19757189788
scalar_0.480000,scalar,0.48,0.48,0.48,0.48,13610909.112905035,13282788.058463033,266907.3805544861,61213.67388751465,21738951.52842465,21262241.158771284,496681.9951125986,973392.3647659621,10603.509952771954,2025396.0507384334,7875.752325372122,1200.0,10800.0,10540.650680908164,10539.094321034307,6888036.656826531,5579777.533807572,89499.40545279905
split_da0.500_upd0.415,split_da_upd,0.5,0.415,0.415,0.415,13680853.4776416,13347987.167976327,271652.6357777568,61213.67388751463,21879153.110949747,21404523.474366717,502987.1320700995,977616.7686531297,10603.509952771954,2163070.3727968466,7939.3991569914815,1200.0,10800.0,10775.326180338388,10775.326180338388,6909826.929241977,5596959.812686002,159443.7701893635
scalar_0.600000,scalar,0.6,0.6,0.6,0.6,13681051.370486446,13347987.167976327,272024.1629350325,61040.03957508488,21879153.110949747,21405264.180803955,502982.34499352507,976871.2751393174,10578.61971303145,2163916.635406689,7939.681885960749,1200.0,10800.0,10775.326180338388,10775.326180338388,6909140.369177004,5596403.699033373,159641.66303420998
