hour,actual_price,price_issue_00,price_issue_06,price_issue_12,price_issue_18
0.16666666666666666,0.4487,0.43047500000000005,,,
0.3333333333333333,0.4373,0.42505000000000004,,,
0.5,0.4311,0.435125,,,
0.6666666666666666,0.4344,0.4636,,,
0.8333333333333334,0.4238,0.46175,,,
1.0,0.4296,0.43505000000000005,,,
1.1666666666666667,0.4989,0.43437499999999996,,,
1.3333333333333333,0.5083,0.426075,,,
1.5,0.4468,0.4078,,,
1.6666666666666667,0.4284,0.416875,,,
1.8333333333333333,0.4436,0.43795,,,
2.0,0.454,0.442225,,,
2.1666666666666665,0.4404,0.41855,,,
2.3333333333333335,0.4405,0.4222,,,
2.5,0.4545,0.44980000000000003,,,
2.6666666666666665,0.4389,0.44699999999999995,,,
2.8333333333333335,0.3868,0.45237499999999997,,,
3.0,0.3634,0.4604,,,
3.1666666666666665,0.4416,0.4286,,,
3.3333333333333335,0.4839,0.43337499999999995,,,
3.5,0.4574,0.47112499999999996,,,
3.6666666666666665,0.4575,0.46,,,
3.8333333333333335,0.4629,0.44522500000000004,,,
4.0,0.4426,0.46255,,,
4.166666666666667,0.4023,0.494425,,,
4.333333333333333,0.4075,0.48417499999999997,,,
4.5,0.452,0.45145,,,
4.666666666666667,0.4646,0.4671,,,
4.833333333333333,0.4561,0.46785,,,
5.0,0.4379,0.44145,,,
5.166666666666667,0.4177,0.44694999999999996,,,
5.333333333333333,0.464,0.485,,,
5.5,0.4802,0.486525,,,
5.666666666666667,0.352,0.424275,,,
5.833333333333333,0.5794,0.630525,,,
6.0,1.0185,0.991775,0.9882249999999999,,
6.166666666666667,0.995,1.0353750000000002,1.0319222541062372,,
6.333333333333333,0.8932,0.98505,0.981691843885381,,
6.5,0.9281,0.9907999999999999,0.9875338423280658,,
6.666666666666667,0.9231,0.97075,0.967573320425309,,
6.833333333333333,0.902,0.9319999999999999,0.9289103472232914,,
7.0,0.8707,0.899125,0.8961199898766383,,
7.166666666666667,0.7992,0.8830250000000001,0.8801023137002385,,
7.333333333333333,0.7957,0.868325,0.8654823822196454,,
7.5,0.8046,0.8109250000000001,0.8081602572200967,,
7.666666666666667,0.7001,0.725725,0.7230359987941907,,
7.833333333333333,0.8467,0.929225,0.9266096653882586,,
8.0,1.1788,1.27975,1.277206313847463,,
8.166666666666666,1.2356,1.288025,1.2855509994596637,,
8.333333333333334,1.1876,1.199625,1.1972187759980806,,
8.5,1.1569,1.1795499999999999,1.1772096957627882,,
8.666666666666666,1.0869,1.148975,1.1466988096210737,,
8.833333333333334,1.0527,1.1315,1.129286167046687,,
9.0,1.068,1.1355,1.13334681615802,,
