,planned energy (kWh),final purchased energy (kWh),upward adjustment (kWh),downward adjustment (kWh),emergency energy (kWh),days with emergency purchase,unused surplus (kWh),planned purchase cost (yuan),adjustment cost (yuan),emergency cost (yuan),total cost (yuan),saving vs static (yuan),saving vs static (%)
06:00 + 12:00,22166054.834668174,21366594.87654672,244180.40924038592,1043640.367361845,317978.00475077436,334.0,2450406.6848451244,13552570.331197018,-105644.74740392569,1222671.6790784881,14669597.26287158,266383.4932530038,1.783501851016859
06:00 + 12:00 + 18:00,22166054.834668174,21201990.991601896,259659.7455300859,1223723.5885963677,332689.56314372167,334.0,2300493.7422429873,13552570.331197018,-166198.68753967527,1283631.7059209156,14670003.34957826,265977.4065463245,1.7807830023968056
12:00,22166054.834668174,21644608.598056063,126408.51561492796,647854.7522270449,327121.75590386684,332.0,2721204.7675547674,13552570.331197018,-88819.46593732647,1267996.7764146314,14731747.641674323,204233.114450261,1.3673900481326882
12:00 + 18:00,22166054.834668174,21480004.713111237,141887.85190462793,827937.9734615677,341833.3142968141,333.0,2571291.8249526303,13552570.331197018,-149373.40607307607,1328956.8032570588,14732153.728381002,203827.02774358168,1.364671199512635
06:00,22166054.834668174,21888041.113158837,117771.89362545797,395785.6151348001,350624.5252494073,334.0,2983550.1464429135,13552570.331197018,-16825.28146659923,1338085.3275914225,14873830.377321843,62150.37880274095,0.41611180288415833
06:00 + 18:00,22166054.834668174,21723437.22821401,133251.22991515795,575868.8363693228,365336.0836423546,334.0,2833637.2038407763,13552570.331197018,-77379.22160234881,1399045.35443385,14874236.46402852,61744.292096063495,0.41339295426411754
00:00 only,22166054.834668174,22166054.834668174,0.0,0.0,359768.27640249976,329.0,3254348.229152556,13552570.331197018,0.0,1383410.4249275655,14935980.756124584,0.0,0.0
18:00,22166054.834668174,22001450.949723355,15479.336289699959,180083.22123452276,374479.83479544707,333.0,3104435.2865504194,13552570.331197018,-60553.94013574959,1444370.451769993,14936386.842831261,-406.08670667745173,-0.0027188486200407937
