method,planned_yuan,emergency_yuan,total_yuan,emergency_kwh,feb_soc,final_soc,seconds
split_q80_feedback,13494382.432090342,710135.4264063339,14204517.858496675,117845.87845357994,10800.0,10800.0,2.4773897500126623
scenario12_feedback,13835823.511602854,473006.033193339,14308829.544796195,76430.4877741306,10800.0,10800.0,11.959961500018835
net_q80_feedback,13707405.635005426,772756.0112668843,14480161.64627231,127488.1554670304,10800.0,10800.0,2.122205000021495
split_q50_feedback,12189692.965767136,3230655.47026958,15420348.436036713,535161.4805603747,10800.0,3491.8708250925824,2.383659749990329
