name,target_mode,waypoint,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_soc6_target,delta_vs_v002
six_hist_morning_c0.5_n48_ge,forecast,six,hist_morning,0.5,0.0,48,ge,13850198.865236918,12594215.037894296,1195365.6880595405,60618.139283082644,20112442.591480892,21067513.99287633,1906181.1138824197,951109.7124869832,11196.85301126986,1936503.5121404238,7388.21229934153,1200.0,10800.0,6413.787341568234,6400.716115842717,6352352.890703162,5149335.051922653,5807.710051923929,328789.15778468177
six_hist_morning_c0.5_n12_ge,forecast,six,hist_morning,0.5,0.0,12,ge,13850198.865236918,12594215.037894296,1195365.6880595405,60618.139283082644,20112442.591480892,21067513.99287633,1906181.1138824197,951109.7124869832,11196.85301126986,1936503.5121404238,7388.21229934153,1200.0,10800.0,6413.787341568234,6400.716115842717,6352352.890703162,5149335.051922653,5807.710051923929,328789.15778468177
six_hybrid_morning_c0.5_n12_ge,forecast,six,hybrid_morning,0.5,0.0,12,ge,13872255.300994024,12560516.642218988,1252316.579748406,59422.07902662922,20033057.32547234,21071797.482808232,1988790.3051874605,950050.1478515688,11011.702304816967,1940962.623198675,7402.690755213923,1200.0,10800.0,6627.962217422228,6615.459174623819,6349555.166383741,5146898.0994360335,5927.882253020813,350845.59354178794
six_hybrid_morning_c0.5_n48_ge,forecast,six,hybrid_morning,0.5,0.0,48,ge,13872255.300994024,12560516.642218988,1252316.579748406,59422.07902662922,20033057.32547234,21071797.482808232,1988790.3051874605,950050.1478515688,11011.702304816967,1940962.623198675,7402.690755213923,1200.0,10800.0,6627.962217422228,6615.459174623819,6349555.166383741,5146898.0994360335,5927.882253020813,350845.59354178794
six_hist_morning_c0.8_n48_soft,forecast,six,hist_morning,0.8,0.0,48,soft,13967230.167357586,12334445.135239698,1572542.4109935234,60242.62112436303,19498237.797667045,21079108.930096537,2526015.4610936185,945144.3286641268,11136.811437739361,1946489.5697611868,7517.378519559795,1200.0,10800.0,8088.682578008396,8067.6586311276205,6373086.7117830785,5168520.034976657,7661.317695974718,445820.4599053506
six_hist_morning_c0.8_n12_soft,forecast,six,hist_morning,0.8,0.0,12,soft,13967230.167357586,12334445.135239698,1572542.4109935234,60242.62112436303,19498237.797667045,21079108.930096537,2526015.4610936185,945144.3286641268,11136.811437739361,1946489.5697611868,7517.378519559795,1200.0,10800.0,8088.682578008396,8067.6586311276205,6373086.7117830785,5168520.034976657,7661.317695974718,445820.4599053506
six_hybrid_morning_c0.8_n48_soft,forecast,six,hybrid_morning,0.8,0.0,48,soft,13987907.785330756,12316638.483355958,1610808.8062226975,60460.49575209999,19454044.944461618,21091462.754645012,2583018.950187846,945601.1400044527,11171.695564926336,1958507.0534257584,7518.699817222414,1200.0,10800.0,8192.477978345152,8172.426615651556,6373501.797069514,5168563.895252002,7768.320898001036,466498.0778785199
six_hybrid_morning_c0.8_n12_soft,forecast,six,hybrid_morning,0.8,0.0,12,soft,13987907.785330756,12316638.483355958,1610808.8062226975,60460.49575209999,19454044.944461618,21091462.754645012,2583018.950187846,945601.1400044527,11171.695564926336,1958507.0534257584,7518.699817222414,1200.0,10800.0,8192.477978345152,8172.426615651556,6373501.797069514,5168563.895252002,7768.320898001036,466498.0778785199
six_hist_morning_c0.8_n48_ge,forecast,six,hist_morning,0.8,0.0,48,ge,14043504.774826221,12325165.911258787,1661041.9269553395,57296.93661209348,19473246.620772585,21100679.16779856,2572233.51642706,944800.969401089,10679.793448127439,1977910.8934392752,7555.040447432494,1200.0,10800.0,8156.024072634177,8135.000125753402,6318833.533016358,5124574.960175611,7661.317695974718,522095.0673739854
six_hist_morning_c0.8_n12_ge,forecast,six,hist_morning,0.8,0.0,12,ge,14043504.774826221,12325165.911258787,1661041.9269553395,57296.93661209348,19473246.620772585,21100679.16779856,2572233.51642706,944800.969401089,10679.793448127439,1977910.8934392752,7555.040447432494,1200.0,10800.0,8156.024072634177,8135.000125753402,6318833.533016358,5124574.960175611,7661.317695974718,522095.0673739854
six_hybrid_morning_c0.8_n12_ge,forecast,six,hybrid_morning,0.8,0.0,12,ge,14082075.302903555,12305429.085517675,1720272.406631066,56373.81075481621,19423855.728171118,21118494.273482427,2639785.878401641,945147.333090334,10528.18661324231,1997524.5567168896,7564.380759231903,1200.0,10800.0,8273.826165954279,8253.774803260685,6307030.779146357,5114722.370734245,7768.320898001036,560665.5954513196
six_hybrid_morning_c0.8_n48_ge,forecast,six,hybrid_morning,0.8,0.0,48,ge,14082075.302903555,12305429.085517675,1720272.406631066,56373.81075481621,19423855.728171118,21118494.273482427,2639785.878401641,945147.333090334,10528.18661324231,1997524.5567168896,7564.380759231903,1200.0,10800.0,8273.826165954279,8253.774803260685,6307030.779146357,5114722.370734245,7768.320898001036,560665.5954513196
